Year,Month,Ocean,Temperature,Salinity,Depth_m
2021,Apr,Atlantic,16.54,32.43,0
2022,Sep,Pacific,1.21,30.5,100
2020,Aug,Pacific,24.79,33.56,0
2022,Apr,Indian,13.98,34.49,10
2022,Aug,Indian,17.81,33.96,50
2019,Oct,Pacific,17.39,35.51,10
2020,Jun,Pacific,13.52,31.96,100
2020,Nov,Atlantic,17.02,30.36,200
2020,Sep,Pacific,2.28,34.06,200
2022,Jan,Indian,11.54,31.62,200
2021,Jun,Pacific,21.3,31.28,50
2020,Nov,Indian,10.99,34.54,0
2023,Apr,Pacific,7.62,33.74,200
2022,Mar,Pacific,16.95,35.99,100
2019,May,Atlantic,14.3,35.4,50
2021,Oct,Indian,16.0,33.17,0
2023,Nov,Pacific,28.75,32.17,10
2023,Aug,Atlantic,4.5,36.84,0
2019,Nov,Atlantic,18.49,34.73,10
2021,Oct,Indian,0.92,36.93,50
2022,Jun,Atlantic,19.42,34.07,0
2018,Jan,Indian,5.92,31.64,10
2021,Jun,Indian,24.21,34.71,0
2019,Jul,Indian,8.09,36.34,0
2023,Jun,Atlantic,12.03,34.45,100
2022,Mar,Atlantic,15.47,33.26,10
2021,Nov,Indian,18.3,31.55,10
2018,Sep,Atlantic,8.97,35.03,50
2018,Oct,Atlantic,4.7,32.19,100
2020,Oct,Indian,19.06,33.04,200
2020,Apr,Indian,13.26,34.69,200
2019,May,Atlantic,1.73,33.41,0
2021,May,Indian,16.11,33.94,50
2021,Mar,Indian,14.01,31.48,10
2023,Dec,Pacific,15.37,35.74,50
2023,Feb,Indian,3.21,31.06,0
2023,Aug,Pacific,14.19,31.21,0
2020,Jul,Atlantic,22.36,30.41,10
2021,May,Atlantic,3.98,34.95,10
2021,Jan,Pacific,18.71,36.52,100
2018,Oct,Pacific,5.34,30.49,0
2020,Jan,Pacific,9.27,31.24,200
2022,Aug,Pacific,10.88,32.61,200
2020,Apr,Pacific,22.9,31.98,50
2022,Apr,Pacific,6.78,34.41,100
2018,Sep,Pacific,7.91,30.28,100
2019,Feb,Atlantic,26.1,34.08,0
2021,May,Pacific,22.3,33.86,50
2018,Jun,Pacific,15.19,30.29,200
2021,Jun,Atlantic,9.48,32.63,200
2023,Oct,Atlantic,23.75,36.45,200
2019,Dec,Pacific,16.88,31.35,10
2019,Mar,Pacific,9.91,36.51,0
2018,Oct,Indian,9.45,35.12,50
2019,Jun,Pacific,13.72,31.81,0
2022,Oct,Indian,28.46,30.06,200
2019,Oct,Indian,19.3,32.96,10
2021,May,Atlantic,20.38,34.19,0
2021,Dec,Indian,11.61,30.76,10
2021,Aug,Pacific,29.3,30.44,200
2021,Apr,Indian,12.21,30.31,0
2022,Oct,Atlantic,0.36,35.3,50
